timestamp,aircraftid,lat,lon,altitude
434.0,CTV855,-6.147653686464191,106.69287500804401,19.9644
435.0,SD05,-6.180692236149784,106.7477006095592,19.9644
435.0,LNI204,-6.194634076991173,106.78518021597476,19.9644
435.0,BTK702,-6.236212986579197,106.83435153990713,19.9644
435.0,CTV855,-6.147845732756372,106.69319365144077,19.9644
436.0,SD05,-6.180824245914023,106.74791970465546,19.9644
436.0,LNI204,-6.194546289314189,106.78493971736259,19.9644
436.0,BTK702,-6.23596858630056,106.833955851308,19.9644
436.0,CTV855,-6.14803777885986,106.69351229506759,19.9644
437.0,SD05,-6.180956255588581,106.74813879986104,19.9644
437.0,LNI204,-6.194458501528881,106.78469921883038,19.9644
437.0,BTK702,-6.235724185726838,106.83356016307775,19.9644
437.0,CTV855,-6.148229824774644,106.6938309389245,19.9644
438.0,SD05,-6.181088265173455,106.74835789517597,19.9644
438.0,LNI204,-6.194370713635244,106.78445872037821,19.9644
438.0,BTK702,-6.235479784858041,106.83316447521635,19.9644
438.0,CTV855,-6.148421870500721,106.69414958301152,19.9644
439.0,SD05,-6.181220274668644,106.74857699060024,19.9644
439.0,LNI204,-6.194282925633282,106.78421822200602,19.9644
439.0,BTK702,-6.235235383694183,106.83276878772381,19.9644
439.0,CTV855,-6.148613916038085,106.69446822732866,19.9644
440.0,SD05,-6.181352284074144,106.74879608613385,19.9644
440.0,LNI204,-6.194195137522996,106.78397772371385,19.9644
440.0,BTK702,-6.234990982235275,106.83237310060007,19.9644
440.0,CTV855,-6.148805961386728,106.69478687187592,19.9644
441.0,SD05,-6.181484293389955,106.74901518177681,19.9644
441.0,LNI204,-6.194107349304387,106.78373722550165,19.9644
441.0,BTK702,-6.234746580481329,106.83197741384515,19.9644
441.0,CTV855,-6.148998006546646,106.69510551665329,19.9644
442.0,SD05,-6.181616302616075,106.74923427752913,19.9644
442.0,LNI204,-6.1940195609774555,106.78349672736948,19.9644
442.0,BTK702,-6.234502178432357,106.83158172745902,19.9644
442.0,CTV855,-6.149190051517831,106.69542416166081,19.9644
443.0,SD05,-6.181748311752502,106.74945337339078,19.9644
443.0,LNI204,-6.193931772542202,106.78325622931729,19.9644
443.0,BTK702,-6.234257776088371,106.83118604144167,19.9644
443.0,CTV855,-6.149382096300277,106.69574280689844,19.9644
444.0,SD05,-6.181880320799232,106.74967246936178,19.9644
444.0,LNI204,-6.193843983998629,106.7830157313451,19.9644
444.0,BTK702,-6.234013373449382,106.83079035579308,19.9644
444.0,CTV855,-6.14957414089398,106.69606145236627,19.9644
445.0,SD05,-6.182012329756265,106.74989156544216,19.9644
445.0,LNI204,-6.193756195346735,106.78277523345291,19.9644
445.0,BTK702,-6.233768970515402,106.83039467051327,19.9644
445.0,CTV855,-6.149766185298933,106.69638009806418,19.9644
446.0,SD05,-6.182144338623597,106.75011066163188,19.9644
446.0,LNI204,-6.193668406586522,106.78253473564071,19.9644
446.0,BTK702,-6.2335245672864446,106.82999898560219,19.9644
446.0,CTV855,-6.149958229515129,106.69669874399231,19.9644
447.0,SD05,-6.18227634740123,106.75032975793096,19.9644
447.0,LNI204,-6.193580617717993,106.78229423790852,19.9644
447.0,BTK702,-6.23328016376252,106.82960330105983,19.9644
447.0,CTV855,-6.150150273542564,106.6970173901506,19.9644
448.0,SD05,-6.182408356089158,106.7505488543394,19.9644
448.0,LNI204,-6.193492828741147,106.78205374025629,19.9644
448.0,BTK702,-6.2330357599436415,106.8292076168862,19.9644
448.0,CTV855,-6.150342317381228,106.69733603653903,19.9644
449.0,SD05,-6.182540364687379,106.75076795085721,19.9644
449.0,LNI204,-6.1934050396559845,106.7818132426841,19.9644
449.0,BTK702,-6.2327913558298205,106.82881193308124,19.9644
449.0,CTV855,-6.150534361031118,106.69765468315767,19.9644
450.0,SD05,-6.182672373195895,106.7509870474844,19.9644
450.0,LNI204,-6.193317250462508,106.78157274519185,19.9644
450.0,BTK702,-6.232546951421068,106.82841624964496,19.9644
450.0,CTV855,-6.150726404492228,106.69797333000652,19.9644
451.0,SD05,-6.182804381614702,106.75120614422096,19.9644
451.0,LNI204,-6.193229461160716,106.78133224777963,19.9644
451.0,BTK702,-6.2323025467173965,106.82802056657735,19.9644
451.0,CTV855,-6.150918447764551,106.69829197708559,19.9644
452.0,SD05,-6.182936389943796,106.75142524106687,19.9644
452.0,LNI204,-6.193141671750611,106.78109175044739,19.9644
452.0,BTK702,-6.232058141718818,106.82762488387841,19.9644
452.0,CTV855,-6.1511104908480805,106.69861062439487,19.9644
453.0,SD05,-6.183068398183177,106.75164433802216,19.9644
453.0,LNI204,-6.193053882232194,106.78085125319515,19.9644
453.0,BTK702,-6.231813736425344,106.8272292015481,19.9644
453.0,CTV855,-6.151302533742811,106.69892927193438,19.9644
454.0,SD05,-6.183200406332841,106.75186343508683,19.9644
454.0,LNI204,-6.192966092605465,106.7806107560229,19.9644
454.0,BTK702,-6.231569330836989,106.82683351958642,19.9644
454.0,CTV855,-6.151494576448737,106.69924791970409,19.9644
455.0,SD05,-6.183332414392789,106.75208253226087,19.9644
455.0,LNI204,-6.192878302870423,106.78037025893062,19.9644
455.0,BTK702,-6.23132492495376,106.82643783799334,19.9644
455.0,CTV855,-6.151686618965852,106.69956656770403,19.9644
456.0,SD05,-6.183464422363017,106.7523016295443,19.9644
456.0,LNI204,-6.192790513027072,106.78012976191835,19.9644
456.0,BTK702,-6.2310805187756735,106.82604215676885,19.9644
456.0,CTV855,-6.151878661294149,106.69988521593417,19.9644
457.0,SD05,-6.183596430243524,106.75252072693712,19.9644
457.0,LNI204,-6.19270272307541,106.77988926498602,19.9644
457.0,BTK702,-6.230836112302738,106.82564647591295,19.9644
457.0,CTV855,-6.15207070343362,106.70020386439454,19.9644
458.0,SD05,-6.183728438034308,106.75273982443932,19.9644
458.0,LNI204,-6.192614933015438,106.77964876813374,19.9644
458.0,BTK702,-6.230591705534968,106.8252507954256,19.9644
458.0,CTV855,-6.152262745384264,106.70052251308512,19.9644
459.0,SD05,-6.183860445735367,106.75295892205091,19.9644
459.0,LNI204,-6.192527142847157,106.7794082713614,19.9644
459.0,BTK702,-6.230347298472373,106.8248551153068,19.9644
459.0,CTV855,-6.152454787146072,106.70084116200596,19.9644
460.0,SD05,-6.183992453346699,106.75317801977188,19.9644
460.0,LNI204,-6.192439352570569,106.77916777466908,19.9644
460.0,BTK702,-6.230102891114968,106.82445943555656,19.9644
460.0,CTV855,-6.152646828719039,106.70115981115711,19.9644
461.0,SD05,-6.184124460868301,106.75339711760225,19.9644
461.0,LNI204,-6.192351562185673,106.77892727805673,19.9644
461.0,BTK702,-6.229858483462762,106.82406375617482,19.9644
461.0,CTV855,-6.152838870103158,106.70147846053848,19.9644
462.0,SD05,-6.1842564683001715,106.75361621554201,19.9644
462.0,LNI204,-6.192263771692469,106.77868678152434,19.9644
462.0,BTK702,-6.229614075515768,106.8236680771616,19.9644
462.0,CTV855,-6.153030911298424,106.70179711015015,19.9644
463.0,SD05,-6.184388475642309,106.75383531359115,19.9644
463.0,LNI204,-6.192175981090956,106.77844628507196,19.9644
463.0,BTK702,-6.229369667273998,106.82327239851688,19.9644
463.0,CTV855,-6.15322295230483,106.7021157599921,19.9644
464.0,SD05,-6.184520482894713,106.75405441174972,19.9644
464.0,LNI204,-6.192088190381135,106.77820578869954,19.9644
464.0,BTK702,-6.229125258737462,106.82287672024063,19.9644
464.0,CTV855,-6.153414993122369,106.70243441006434,19.9644
465.0,SD05,-6.184652490057378,106.7542735100177,19.9644
465.0,LNI204,-6.192000399563008,106.77796529240713,19.9644
465.0,BTK702,-6.228880849906176,106.82248104233284,19.9644
465.0,CTV855,-6.153607033751037,106.70275306036686,19.9644
466.0,SD05,-6.184784497130304,106.75449260839504,19.9644
466.0,LNI204,-6.191912608636574,106.77772479619469,19.9644
466.0,BTK702,-6.22863644078015,106.82208536479351,19.9644
466.0,CTV855,-6.153799074190826,106.70307171089972,19.9644
467.0,SD05,-6.184916504113488,106.7547117068818,19.9644
467.0,LNI204,-6.191824817601836,106.77748430006221,19.9644
467.0,BTK702,-6.228392031359394,106.8216896876226,19.9644
467.0,CTV855,-6.15399111444173,106.70339036166287,19.9644
468.0,SD05,-6.185048511006931,106.754930805478,19.9644
468.0,LNI204,-6.19173702645879,106.77724380400974,19.9644
468.0,BTK702,-6.228147621643921,106.82129401082013,19.9644
468.0,CTV855,-6.1541831545037455,106.70370901265632,19.9644
469.0,SD05,-6.185180517810627,106.75514990418361,19.9644
469.0,LNI204,-6.191649235207435,106.77700330803722,19.9644
469.0,BTK702,-6.227903211633744,106.82089833438606,19.9644
469.0,CTV855,-6.154375194376863,106.70402766388013,19.9644
470.0,SD05,-6.185312524524577,106.75536900299865,19.9644
