lat,lon,alt,grc,arc
-6.334084020475065,106.93100271647324,140.0,7,2
-6.334084020475065,106.93200271647325,140.0,7,2
-6.334084020475065,106.93300271647325,140.0,7,2
-6.333084020475065,106.70900271647218,140.0,7,2
-6.333084020475065,106.71000271647219,140.0,7,2
-6.333084020475065,106.7110027164722,140.0,7,2
-6.333084020475065,106.7120027164722,140.0,6,2
-6.333084020475065,106.7130027164722,140.0,7,2
-6.333084020475065,106.71400271647221,140.0,6,2
-6.333084020475065,106.71500271647221,140.0,6,2
-6.333084020475065,106.71600271647222,140.0,7,2
-6.333084020475065,106.71700271647222,140.0,7,2
-6.333084020475065,106.71800271647223,140.0,7,2
-6.333084020475065,106.71900271647223,140.0,7,2
-6.333084020475065,106.72000271647224,140.0,7,2
-6.333084020475065,106.72100271647224,140.0,7,2
-6.333084020475065,106.72200271647225,140.0,7,2
-6.333084020475065,106.72300271647225,140.0,7,2
-6.333084020475065,106.72400271647226,140.0,7,2
-6.333084020475065,106.72500271647226,140.0,7,2
-6.333084020475065,106.72600271647227,140.0,7,2
-6.333084020475065,106.72700271647227,140.0,7,2
-6.333084020475065,106.72800271647228,140.0,7,2
-6.333084020475065,106.72900271647228,140.0,7,2
-6.333084020475065,106.73000271647228,140.0,7,2
-6.333084020475065,106.73100271647229,140.0,7,2
-6.333084020475065,106.7320027164723,140.0,7,2
-6.333084020475065,106.7330027164723,140.0,7,2
-6.333084020475065,106.7340027164723,140.0,7,2
-6.333084020475065,106.73500271647231,140.0,7,2
-6.333084020475065,106.73600271647231,140.0,7,2
-6.333084020475065,106.73700271647232,140.0,7,2
-6.333084020475065,106.73800271647232,140.0,6,2
-6.333084020475065,106.73900271647233,140.0,4,1
-6.333084020475065,106.74000271647233,140.0,3,1
-6.333084020475065,106.74100271647234,140.0,6,2
-6.333084020475065,106.74200271647234,140.0,6,2
-6.333084020475065,106.74300271647235,140.0,5,1
-6.333084020475065,106.74400271647235,140.0,5,1
-6.333084020475065,106.74500271647236,140.0,6,2
-6.333084020475065,106.74600271647236,140.0,6,2
-6.333084020475065,106.74700271647237,140.0,7,2
-6.333084020475065,106.74800271647237,140.0,7,2
-6.333084020475065,106.74900271647238,140.0,7,2
-6.333084020475065,106.75000271647238,140.0,6,2
-6.333084020475065,106.75100271647239,140.0,7,2
-6.333084020475065,106.75200271647239,140.0,7,2
-6.333084020475065,106.7530027164724,140.0,7,2
-6.333084020475065,106.7540027164724,140.0,7,2
-6.333084020475065,106.7550027164724,140.0,7,2
-6.333084020475065,106.75600271647241,140.0,7,2
-6.333084020475065,106.75700271647241,140.0,7,2
-6.333084020475065,106.75800271647242,140.0,7,2
-6.333084020475065,106.75900271647242,140.0,7,2
-6.333084020475065,106.76000271647243,140.0,7,2
-6.333084020475065,106.76100271647243,140.0,7,2
-6.333084020475065,106.76200271647244,140.0,7,2
-6.333084020475065,106.76300271647244,140.0,5,1
-6.333084020475065,106.76400271647245,140.0,3,1
-6.333084020475065,106.76500271647245,140.0,4,1
-6.333084020475065,106.76600271647246,140.0,6,2
-6.333084020475065,106.76700271647246,140.0,7,2
-6.333084020475065,106.76800271647247,140.0,7,2
-6.333084020475065,106.76900271647247,140.0,7,2
-6.333084020475065,106.77000271647248,140.0,7,2
-6.333084020475065,106.77100271647248,140.0,7,2
-6.333084020475065,106.77200271647249,140.0,7,2
-6.333084020475065,106.77300271647249,140.0,7,2
-6.333084020475065,106.7740027164725,140.0,7,2
-6.333084020475065,106.7750027164725,140.0,7,2
-6.333084020475065,106.7760027164725,140.0,7,2
-6.333084020475065,106.77700271647251,140.0,7,2
-6.333084020475065,106.77800271647251,140.0,7,2
-6.333084020475065,106.77900271647252,140.0,7,2
-6.333084020475065,106.78000271647252,140.0,7,2
-6.333084020475065,106.78100271647253,140.0,7,2
-6.333084020475065,106.78200271647253,140.0,7,2
-6.333084020475065,106.78300271647254,140.0,7,2
-6.333084020475065,106.78400271647254,140.0,6,2
-6.333084020475065,106.78500271647255,140.0,7,2
-6.333084020475065,106.78600271647255,140.0,7,2
-6.333084020475065,106.78700271647256,140.0,7,2
-6.333084020475065,106.78800271647256,140.0,7,2
-6.333084020475065,106.78900271647257,140.0,6,2
-6.333084020475065,106.79000271647257,140.0,7,2
-6.333084020475065,106.79100271647258,140.0,7,2
-6.333084020475065,106.79200271647258,140.0,7,2
-6.333084020475065,106.79300271647259,140.0,7,2
-6.333084020475065,106.79400271647259,140.0,7,2
-6.333084020475065,106.7950027164726,140.0,7,2
-6.333084020475065,106.7960027164726,140.0,7,2
-6.333084020475065,106.7970027164726,140.0,7,2
-6.333084020475065,106.79800271647261,140.0,7,2
-6.333084020475065,106.79900271647261,140.0,7,2
-6.333084020475065,106.80000271647262,140.0,7,2
-6.333084020475065,106.80100271647262,140.0,7,2
-6.333084020475065,106.80200271647263,140.0,7,2
-6.333084020475065,106.80300271647263,140.0,7,2
-6.333084020475065,106.80400271647264,140.0,7,2
-6.333084020475065,106.80500271647264,140.0,7,2
-6.333084020475065,106.80600271647265,140.0,7,2
-6.333084020475065,106.80700271647265,140.0,7,2
-6.333084020475065,106.80800271647266,140.0,7,2
-6.333084020475065,106.80900271647266,140.0,7,2
-6.333084020475065,106.81000271647267,140.0,7,2
-6.333084020475065,106.81100271647267,140.0,7,2
-6.333084020475065,106.81200271647268,140.0,7,2
-6.333084020475065,106.81300271647268,140.0,6,2
-6.333084020475065,106.81400271647269,140.0,7,2
-6.333084020475065,106.81500271647269,140.0,7,2
-6.333084020475065,106.8160027164727,140.0,7,2
-6.333084020475065,106.8170027164727,140.0,7,2
-6.333084020475065,106.8180027164727,140.0,7,2
-6.333084020475065,106.81900271647271,140.0,7,2
-6.333084020475065,106.82000271647271,140.0,7,2
-6.333084020475065,106.82100271647272,140.0,7,2
-6.333084020475065,106.82200271647272,140.0,7,2
-6.333084020475065,106.82300271647273,140.0,7,2
-6.333084020475065,106.82400271647273,140.0,7,2
-6.333084020475065,106.82500271647274,140.0,7,2
-6.333084020475065,106.82600271647274,140.0,7,2
-6.333084020475065,106.82700271647275,140.0,7,2
-6.333084020475065,106.82800271647275,140.0,7,2
-6.333084020475065,106.82900271647276,140.0,7,2
-6.333084020475065,106.83000271647276,140.0,7,2
-6.333084020475065,106.83100271647277,140.0,7,2
-6.333084020475065,106.83200271647277,140.0,7,2
-6.333084020475065,106.83300271647278,140.0,7,2
-6.333084020475065,106.83400271647278,140.0,7,2
-6.333084020475065,106.83500271647279,140.0,7,2
-6.333084020475065,106.83600271647279,140.0,7,2
-6.333084020475065,106.8370027164728,140.0,7,2
-6.333084020475065,106.8380027164728,140.0,7,2
-6.333084020475065,106.8390027164728,140.0,7,2
-6.333084020475065,106.84000271647281,140.0,6,2
-6.333084020475065,106.84100271647281,140.0,6,2
-6.333084020475065,106.84200271647282,140.0,7,2
-6.333084020475065,106.84300271647282,140.0,7,2
-6.333084020475065,106.84400271647283,140.0,7,2
-6.333084020475065,106.84500271647283,140.0,7,2
-6.333084020475065,106.84600271647284,140.0,7,2
-6.333084020475065,106.84700271647284,140.0,7,2
-6.333084020475065,106.84800271647285,140.0,7,2
-6.333084020475065,106.84900271647285,140.0,7,2
-6.333084020475065,106.85000271647286,140.0,7,2
-6.333084020475065,106.85100271647286,140.0,7,2
-6.333084020475065,106.85200271647287,140.0,7,2
-6.333084020475065,106.85300271647287,140.0,7,2
-6.333084020475065,106.85400271647288,140.0,7,2
-6.333084020475065,106.85500271647288,140.0,7,2
-6.333084020475065,106.85600271647289,140.0,7,2
-6.333084020475065,106.85700271647289,140.0,7,2
-6.333084020475065,106.8580027164729,140.0,7,2
-6.333084020475065,106.8590027164729,140.0,7,2
-6.333084020475065,106.8600027164729,140.0,7,2
-6.333084020475065,106.86100271647291,140.0,7,2
-6.333084020475065,106.86200271647292,140.0,7,2
-6.333084020475065,106.86300271647292,140.0,7,2
-6.333084020475065,106.86400271647292,140.0,7,2
-6.333084020475065,106.86500271647293,140.0,7,2
-6.333084020475065,106.86600271647293,140.0,7,2
-6.333084020475065,106.86700271647294,140.0,7,2
-6.333084020475065,106.86800271647294,140.0,7,2
-6.333084020475065,106.86900271647295,140.0,7,2
-6.333084020475065,106.87000271647295,140.0,7,2
-6.333084020475065,106.87100271647296,140.0,7,2
-6.333084020475065,106.87200271647296,140.0,7,2
-6.333084020475065,106.87300271647297,140.0,7,2
-6.333084020475065,106.87400271647297,140.0,7,2
-6.333084020475065,106.87500271647298,140.0,7,2
